=== Packet at 2025-09-22T18:59:20.305437 ===
From: 61.98.214.249:14505
Size: 4982 bytes
Data:
send0,31751,31751
1,32503,32127
2,31719,31991
3,29174,31286
4,28614,30752
5,28678,30406
6,29062,30214
7,29302,30100
8,32999,30422
9,33719,30752
10,34679,31109
11,34263,31371
12,33975,31572
13,31991,31602
14,33191,31708
15,33943,31847
16,33431,31940
17,34775,32098
18,33015,32146
19,33175,32197
20,32375,32206
21,31879,32191
22,32151,32189
23,29622,32082
24,30150,32005
25,30935,31964
26,30583,31913
27,30935,31878
28,30342,31825
29,30935,31795
30,30198,31743
31,29942,31658
32,30214,31608
33,28662,31591
34,30855,31665
35,29830,31704
36,31447,31783
37,30118,31810
38,29878,31706
39,30342,31594
40,29862,31433
41,30198,31298
42,29702,31155
43,29174,31061
44,26790,30848
45,26037,30585
46,26037,30338
47,26278,30055
48,26294,29831
49,30374,29737
50,31127,29696
51,30871,29662
52,31207,29631
53,30695,29667
54,28070,29597
55,26870,29462
56,26742,29334
57,26774,29195
58,27110,29087
59,29430,29037
60,30871,29060
61,31671,29117
62,31095,29147
63,31415,29238
64,28870,29172
65,27094,29081
66,26614,28920
67,26566,28801
68,29366,28784
69,28886,28736
70,31159,28779
71,31191,28812
72,33495,28939
73,31863,29028
74,30390,29148
75,31703,29337
76,32135,29540
77,33239,29772
78,32951,29994
79,32935,30080
80,33415,30156
81,32999,30227
82,34551,30338
83,32983,30415
84,32151,30551
85,31703,30712
86,31927,30885
87,31927,31056
88,32263,31228
89,31703,31304
90,31895,31338
91,30951,31314
92,30406,31291
93,32135,31315
94,29830,31347
95,28038,31379
96,30166,31497
97,29174,31584
98,29878,31601
99,29126,31609
100,28854,31532
101,29350,31471
102,29094,31324
103,29686,31251
104,29590,31225
105,27030,31069
106,29110,30968
107,29574,30846
108,30086,30751
109,29878,30649
110,30118,30539
111,30631,30460
112,30406,30322
113,30374,30235
114,31367,30209
115,28886,30115
116,26614,29938
117,26037,29741
118,26021,29533
119,26005,29343
120,26230,29154
121,26886,29019
122,31623,28874
123,30919,28750
124,31431,28745
125,31175,28808
126,31223,28831
127,31911,28872
128,29558,28823
129,31943,28754
130,32151,28685
131,32919,28600
132,32663,28531
133,32455,28528
134,32903,28574
135,32423,28712
136,32167,28814
137,32615,28875
138,30374,28871
139,30631,28879
140,31703,28897
141,31399,28926
142,31207,28941
143,31367,29029
144,30903,29012
145,33287,29064
146,30470,29199
147,30070,29345
148,29638,29490
149,28406,29601
150,29094,29722
151,29622,29838
152,29622,29994
153,30599,30053
154,29558,30088
155,29174,30093
156,29862,30085
157,29350,30069
158,29334,30170
159,26278,30223
160,25525,30325
161,25493,30469
162,25973,30606
163,26838,30660
164,29318,30699
165,31399,30723
166,31111,30744
167,31111,30771
168,32935,30871
169,30647,30888
170,29174,30838
171,28838,30750
172,28902,30685
173,29862,30580
174,30919,30582
175,33671,30689
176,32743,30758
177,32487,30827
178,33191,30921
179,30935,30975
180,28838,30941
181,28358,30874
182,28150,30788
183,28102,30718
184,29318,30672
185,31191,30707
186,31863,30750
187,32407,30832
188,31911,30848
189,31943,30958
190,29062,30932
191,28134,30832
192,28022,30729
193,27910,30619
194,28294,30490
195,30887,30456
196,31703,30420
197,32519,30430
198,31943,30397
199,32119,30446
200,30070,30476
201,31223,30555
202,31863,30654
203,31175,30698
204,31975,30733
205,31367,30656
206,30903,30595
207,31639,30567
208,30679,30483
209,31463,30501
210,30134,30544
211,30695,30622
212,30390,30696
213,30214,30767
214,31223,30830
215,32663,30879
216,32407,30897
217,32455,30899
218,33255,30944
219,32919,30976
220,33799,31134
221,32951,31295
222,32743,31452
223,29926,31519
224,29062,31545
225,28854,31477
226,29030,31388
227,30647,31326
228,31719,31318
229,32391,31327
230,32903,31422
231,32407,31461
232,32439,31480
233,29878,31437
234,28102,31308
235,27574,31182
236,27590,31071
237,27574,30936
238,29622,30900
239,30951,30883
240,31719,30936
241,31399,30960
242,33943,31078
243,29638,31059
244,27606,30938
245,27046,30751
246,27062,30573
247,27270,30400
248,28662,30247
249,31367,30195
250,31431,30116
251,32119,30089
252,31751,30056
253,29894,30055
254,27814,30013
255,27318,29962
256,27062,29896
257,28390,29821
258,27862,29692
259,31175,29652
260,31191,29595
261,31895,29578
262,31703,29553
263,30903,29587
264,28614,29604
265,27094,29588
266,26806,29562
267,26774,29536
268,27094,29451
269,30134,29424
270,30855,29395
271,30695,29372
272,30887,29270
273,31111,29319
274,28614,29353
275,30695,29474
276,30166,29578
277,29910,29666
278,30615,29731
279,29910,29682
280,29862,29630
281,30374,29572
282,30118,29517
283,30182,29527
284,29110,29570
285,27542,29578
286,27526,29593
287,27814,29574
288,29606,29632
289,30695,29616
290,32263,29652
291,33927,29719
292,33415,29777
293,33015,29847
294,32407,29973
295,29846,30065
296,28886,30134
297,28678,30198
298,28838,30256
299,29574,30237
300,31703,30266
301,33031,30344
302,32487,30397
303,32919,30457
304,31991,30570
305,30198,30553
306,31927,30612
307,31367,30660
308,30983,30673
309,31367,30721
310,30695,30749
311,31399,30783
312,30599,30799
313,30919,30824
314,30342,30865
315,30679,30969
316,29670,31041
317,30086,31117

==================================================

